1	0	2143125.71754897	2143125.71754897
2	1	2143125.71754897	2143125.71754897
3	2	2143125.71754897	2143125.71754897
4	3	2143125.71754897	2143125.71754897
5	4	2143125.71754897	2143125.71754897
6	5	2143125.71754897	2143125.71754897
7	6	2143125.71754897	2143125.71754897
8	7	2143125.71754897	2143125.71754897
9	8	2143125.71754897	2143125.71754897
10	9	2143125.71754897	2143125.71754897
11	10	2143125.71754897	2143125.71754897
12	11	2143125.71754897	2143125.71754897
13	12	2143125.71754897	2143125.71754897
14	13	2143125.71754897	2143125.71754897
15	14	2143125.71754897	2143125.71754897
16	15	2143125.71754897	2143125.71754897
17	16	2143125.71754897	2143125.71754897
18	17	2143125.71754897	2143125.71754897
19	18	2143125.71754897	2143125.71754897
20	19	2143125.71754897	2143125.71754897
21	20	2143125.71754897	2143125.71754897
22	21	2143125.71754897	2143125.71754897
23	22	2143125.71754897	2143125.71754897
24	23	2143125.71754897	2143125.71754897
25	24	2143125.71754897	2143125.71754897
26	25	2143125.71754897	2143125.71754897
27	26	2143125.71754897	2143125.71754897
28	27	2143125.71754897	2143125.71754897
29	28	2143125.71754897	2143125.71754897
30	29	2143125.71754897	2143125.71754897
31	30	2143125.71754897	2143125.71754897
32	31	2143125.71754897	2143125.71754897
33	32	2143125.71754897	2143125.71754897
34	33	2143125.71754897	2143125.71754897
35	34	2143125.71754897	2143125.71754897
36	35	2143125.71754897	2143125.71754897
37	36	2143125.71754897	2143125.71754897
38	37	2143125.71754897	2143125.71754897
39	38	2143125.71754897	2143125.71754897
40	39	2143125.71754897	2143125.71754897
41	40	2143125.71754897	2143125.71754897
